Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
,,,-4.91258090563E-07,-0.00136326380061291,
,,,-4.91208090563E-07,-0.00118407238323925,
,,,-4.91158090563E-07,-0.000846770891712367,
,,,-4.91108090563E-07,-0.000667579474338709,
,,,-4.91058090563E-07,-0.000583254101456987,
,,,-4.91008090563E-07,-0.000657038802728493,
,,,-4.90958090563E-07,-0.000867852234932798,
,,,-4.90908090563E-07,-0.000809878541076614,
,,,-4.90858090563E-07,-0.000551632086626341,
,,,-4.90808090563E-07,-0.000704471824974462,
,,,-4.90758090563E-07,-0.00119988339065458,
,,,-4.90708090563E-07,-0.0010786656671371,
,,,-4.90658090563E-07,-0.000672849810143816,
,,,-4.90608090563E-07,-0.000978529286840057,
,,,-4.90558090563E-07,-0.00122096473387501,
,,,-4.90508090563E-07,-0.000588524437262095,
,,,-4.90458090563E-07,-0.000193249251879024,
,,,-4.90408090563E-07,-0.000577983765651879,
,,,-4.90358090563E-07,-0.00062014645209274,
,,,-4.90308090563E-07,-0.000462036377939512,
,,,-4.90258090563E-07,-0.000794067533661291,
,,,-4.90208090563E-07,-0.000836230220102152,
,,,-4.90158090563E-07,-0.000309196639591391,
,,,-4.90108090563E-07,-0.000166897572853486,
,,,-4.90058090563E-07,-0.000472577049549727,
,,,-4.90008090563E-07,-0.000720282832389785,
,,,-4.89958090563E-07,-0.000783526862051076,
,,,-4.89908090563E-07,-0.000425144027303759,
,,,-4.89858090563E-07,0.000112430224817217,
,,,-4.89808090563E-07,3.3375187740603E-05,
,,,-4.89758090563E-07,-0.000219600930904562,
,,,-4.89708090563E-07,2.81048519354954E-05,
,,,-4.89658090563E-07,6.49972025712486E-05,
,,,-4.89608090563E-07,-0.00037771100505779,
,,,-4.89558090563E-07,-0.000451495706329297,
,,,-4.89508090563E-07,-0.000367170333447575,
,,,-4.89458090563E-07,-0.000625416787897848,
,,,-4.89408090563E-07,-0.000736093839805108,
,,,-4.89358090563E-07,-0.000593794773067202,
,,,-4.89308090563E-07,-0.000783526862051076,
,,,-4.89258090563E-07,-0.0010048809658656,
,,,-4.89208090563E-07,-0.000836230220102152,
,,,-4.89158090563E-07,-0.000715012496584677,
,,,-4.89108090563E-07,-0.000804608205271506,
,,,-4.89058090563E-07,-0.000704471824974462,
,,,-4.89008090563E-07,-0.00050946940018548,
,,,-4.88958090563E-07,-0.000498928728575265,
,,,-4.88908090563E-07,-0.000440955034719082,
,,,-4.88858090563E-07,-0.000251222945735208,
,,,-4.88808090563E-07,-0.000298655967981176,
,,,-4.88758090563E-07,-0.000498928728575265,
,,,-4.88708090563E-07,-0.00037771100505779,
,,,-4.88658090563E-07,-0.000182708580268809,
,,,-4.88608090563E-07,-0.000520010071795696,
,,,-4.88558090563E-07,-0.00108393600294221,
,,,-4.88508090563E-07,-0.00112609868938307,
,,,-4.88458090563E-07,-0.000783526862051076,
,,,-4.88408090563E-07,-0.000730823504,
,,,-4.88358090563E-07,-0.000857311563322583,
,,,-4.88308090563E-07,-0.000646498131118278,
,,,-4.88258090563E-07,-0.000340818654422037,
,,,-4.88208090563E-07,-0.000630687123702955,
,,,-4.88158090563E-07,-0.00114190969679839,
,,,-4.88108090563E-07,-0.000873122570737905,
,,,-4.88058090563E-07,-0.000382981340862898,
,,,-4.88008090563E-07,-0.000583254101456987,
,,,-4.87958090563E-07,-0.000678120145948924,
,,,-4.87908090563E-07,-0.000230141602514777,
,,,-4.87858090563E-07,-0.000261763617345423,
,,,-4.87808090563E-07,-0.000493658392770158,
,,,-4.87758090563E-07,-5.09501851411187E-05,
,,,-4.87708090563E-07,0.000101889553207002,
,,,-4.87658090563E-07,-0.000546361750821234,
,,,-4.87608090563E-07,-0.000762445518830646,
,,,-4.87558090563E-07,-0.000562172758236557,
,,,-4.87508090563E-07,-0.000767715854635753,
,,,-4.87458090563E-07,-0.000746634511415323,
,,,-4.87408090563E-07,-0.000409333019888436,
,,,-4.87358090563E-07,-0.000746634511415323,
,,,-4.87308090563E-07,-0.0010786656671371,
,,,-4.87258090563E-07,1.22938445201726E-05,
,,,-4.87208090563E-07,0.00228907891232666,
,,,-4.87158090563E-07,0.00540911770895036,
,,,-4.87108090563E-07,0.00978349642718968,
,,,-4.87058090563E-07,0.0146638273827193,
,,,-4.87008090563E-07,0.0185954978933296,
,,,-4.86958090563E-07,0.0210883667291455,
,,,-4.86908090563E-07,0.0219316204579627,
,,,-4.86858090563E-07,0.0205982254992705,
,,,-4.86808090563E-07,0.0172146699123914,
,,,-4.86758090563E-07,0.0130669156337717,
,,,-4.86708090563E-07,0.00911943411574612,
,,,-4.86658090563E-07,0.00528262964962778,
,,,-4.86608090563E-07,0.00151433954897584,
,,,-4.86558090563E-07,-0.00145812984510485,
,,,-4.86508090563E-07,-0.00324477368303633,
,,,-4.86458090563E-07,-0.00396680968833607,
,,,-4.86408090563E-07,-0.00364531920422451,
,,,-4.86358090563E-07,-0.002396249618414,
,,,-4.86308090563E-07,-0.00113136902518818,
,,,-4.86258090563E-07,-0.000562172758236557,
,,,-4.86208090563E-07,-0.000430414363108866,
,,,-4.86158090563E-07,-0.000530550743405911,
,,,-4.86108090563E-07,-0.0010786656671371,
,,,-4.86058090563E-07,-0.00176380932180109,
,,,-4.86008090563E-07,-0.001906108388539,
,,,-4.85958090563E-07,-0.0014897518599355,
,,,-4.85908090563E-07,-0.00109447667455242,
,,,-4.85858090563E-07,-0.000741364175610215,
,,,-4.85808090563E-07,-0.000251222945735208,
,,,-4.85758090563E-07,-4.04095135309035E-05,
,,,-4.85708090563E-07,-0.000388251676668006,
,,,-4.85658090563E-07,-0.000794067533661291,
,,,-4.85608090563E-07,-0.000825689548491937,
,,,-4.85558090563E-07,-0.00070974216077957,
,,,-4.85508090563E-07,-0.00059906510887231,
,,,-4.85458090563E-07,-0.000446225370524189,
,,,-4.85408090563E-07,-0.000230141602514777,
,,,-4.85358090563E-07,-0.000124734886412625,
,,,-4.85308090563E-07,-0.00022487126670967,
,,,-4.85258090563E-07,-0.000409333019888436,
,,,-4.85208090563E-07,-0.000541091415016126,
,,,-4.85158090563E-07,-0.000783526862051076,
,,,-4.85108090563E-07,-0.00117353171162904,
,,,-4.85058090563E-07,-0.00150029253154571,
,,,-4.85008090563E-07,-0.00171110596375001,
,,,-4.84958090563E-07,-0.00171110596375001,
,,,-4.84908090563E-07,-0.00130529010675673,
,,,-4.84858090563E-07,-0.000836230220102152,
,,,-4.84808090563E-07,-0.000715012496584677,
,,,-4.84758090563E-07,-0.000493658392770158,
,,,-4.84708090563E-07,-3.51391777257959E-05,
,,,-4.84658090563E-07,1.75317290995736E-06,
,,,-4.84608090563E-07,-0.000319737311201607,
,,,-4.84558090563E-07,-0.000367170333447575,
,,,-4.84508090563E-07,-0.000404062684083328,
,,,-4.84458090563E-07,-0.000883663242348121,
,,,-4.84408090563E-07,-0.0012156943980699,
,,,-4.84358090563E-07,-0.000957447943619627,
,,,-4.84308090563E-07,-0.000625416787897848,
,,,-4.84258090563E-07,-0.000667579474338709,
,,,-4.84208090563E-07,-0.000757175183025538,
,,,-4.84158090563E-07,-0.000535821079211019,
,,,-4.84108090563E-07,-0.000166897572853486,
,,,-4.84058090563E-07,-0.000203789923489239,
,,,-4.84008090563E-07,-0.000704471824974462,
,,,-4.83958090563E-07,-0.00113136902518818,
,,,-4.83908090563E-07,-0.00140542648705377,
,,,-4.83858090563E-07,-0.00169002462052958,
,,,-4.83808090563E-07,-0.00181124234404706,
,,,-4.83758090563E-07,-0.00155826622540189,
,,,-4.83708090563E-07,-0.0011471800326035,
,,,-4.83658090563E-07,-0.000825689548491937,
,,,-4.83608090563E-07,-0.000767715854635753,
,,,-4.83558090563E-07,-0.000983799622645165,
,,,-4.83508090563E-07,-0.0010048809658656,
,,,-4.83458090563E-07,-0.000699201489169354,
,,,-4.83408090563E-07,-0.000741364175610215,
,,,-4.83358090563E-07,-0.00120515372645968,
,,,-4.83308090563E-07,-0.0014265078302742,
,,,-4.83258090563E-07,-0.00155826622540189,
,,,-4.83208090563E-07,-0.00176380932180109,
,,,-4.83158090563E-07,-0.00145812984510485,
,,,-4.83108090563E-07,-0.000883663242348121,
,,,-4.83058090563E-07,-0.000794067533661291,
,,,-4.83008090563E-07,-0.000683390481754032,
